DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-09,0.9479528,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-10,0.138943,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-11,0.6121772,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2020-12,0.6127217,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-01,0.9491458,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-02,1.417732,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-03,1.901141,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-04,2.492462,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-05,2.624698,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-06,2.346806,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-07,2.639767,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-08,2.555145,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-09,2.41215,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-10,3.164304,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-11,3.776601,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2021-12,3.697797,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-01,3.770784,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-02,3.780272,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-03,4.183032,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-04,4.755835,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-05,5.340519,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-06,6.036257,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-07,6.32701,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-08,5.722628,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-09,5.476398,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-10,5.621674,A,0,,,1
OECD.SDD.TPS:DSD_G20_PRICES@DF_G20_PRICES(1.0),KOR,M,N,CPI,PA,_T,N,GY,2022-11,5.006258,A,0,,,1
