date,period,actual,prediction,response,lower_80,upper_80,lower_95,upper_95,actual_log,counterfactual_log,war_premium_usd_bbl,war_stage,model,horizon,specification,sample_start,sample_end
2026-03-20,2026-03,118.42,71.92748906201948,46.492510937980526,65.63036366216684,78.82881328218625,62.52320179241775,82.74630112423856,4.77423762710363,4.275658515192937,46.492510937980526,E2_disruption,AR3_plus_USD_counterfactual,15,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-23,2026-03,103.79,71.86298962110573,31.92701037889428,65.37478197165802,78.99512811411022,62.18073627910918,83.0528807845299,4.642369626977198,4.274761384230853,31.92701037889428,E2_disruption,AR3_plus_USD_counterfactual,16,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-24,2026-03,108.42,71.90293816710408,36.51706183289592,65.22090982963579,79.26955527862287,61.9388214607157,83.46998530382842,4.686012573832192,4.275317128524945,36.51706183289592,E2_disruption,AR3_plus_USD_counterfactual,17,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-25,2026-03,109.14,71.90065523910854,37.239344760891456,65.03467729993547,79.49150266358401,61.669577221456315,83.82908488651813,4.6926314617580855,4.275285377885873,37.239344760891456,E2_disruption,AR3_plus_USD_counterfactual,18,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-26,2026-03,113.39,71.96429827311164,41.42570172688836,64.91347030291408,79.78097922934326,61.465090704612706,84.25693619862707,4.730833203983749,4.276170138720267,41.42570172688836,E2_disruption,AR3_plus_USD_counterfactual,19,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-27,2026-03,121.47,72.07069497642388,49.39930502357612,64.83553112137473,80.11324939501162,61.304297732536554,84.72791087251908,4.79966731871218,4.277647511964975,49.39930502357612,E2_disruption,AR3_plus_USD_counterfactual,20,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-30,2026-03,121.88,72.16462640590392,49.71537359409608,64.75064508726446,80.42751230177277,61.13941951338384,85.17799720299398,4.803036954117508,4.278949986863064,49.71537359409608,E2_disruption,AR3_plus_USD_counterfactual,21,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-03-31,2026-03,126.69,72.12104764440447,54.56895235559553,64.54666915675797,80.58425913030823,60.86456868183311,85.45933415739441,4.841743157613962,4.278345924635661,54.56895235559553,E2_disruption,AR3_plus_USD_counterfactual,22,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-01,2026-04,119.56,71.9302117556361,47.62978824436391,64.21553899510643,80.57170342531786,60.47244537588365,85.5588910130963,4.783818337415737,4.27569636778757,47.62978824436391,E2_disruption,AR3_plus_USD_counterfactual,23,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-02,2026-04,127.61,71.99996746659222,55.610032533407775,64.12116088519873,80.84687244623754,60.30562112037166,85.96205824400585,4.848978737745885,4.276665667163067,55.610032533407775,E2_disruption,AR3_plus_USD_counterfactual,24,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
