draw,outcome,beta_fuel_lag0,beta_fuel_lag1,beta_fuel_lag2,beta_fuel_lag3,beta_fuel_lag4,beta_fuel_lag5,beta_fuel_lag6,phi_outcome_lag1,common_sample_start,common_sample_end,common_n,block_length
24,china_cpi_yoy_pct,3.7495662746203458,2.890318119781259,0.9880104906825007,1.159069715135595,0.7509055028050096,0.5462972415522628,3.878330458243772,0.8713290224452899,2013-10,2026-06,114,6
24,china_iav_yoy_pct,-2.840153510217647,-7.431061000087839,0.2988914503784623,4.369861499709693,5.747134198814022,-4.427210986571267,-5.053379445082075,0.6648755998836496,2013-10,2026-06,114,6
25,china_ppi_yoy_pct,13.600444808010074,2.6377366615522027,0.5137060897195846,1.3883791261863272,1.3086844385701206,2.100590418970766,1.7275933417465974,0.9513938220146093,2013-10,2026-06,114,6
25,china_cpi_yoy_pct,3.764297998957026,2.7474283419661245,0.07395089486473216,0.4864187834365753,0.19218332286363915,0.9480033667570675,-0.0876809958294183,0.9709548246752582,2013-10,2026-06,114,6
25,china_iav_yoy_pct,-3.398820121988924,-6.385244283264456,-9.974514387852132,0.5292688162704529,7.482108625438216,-6.745982684154864,-8.302784958835103,0.5715635518654842,2013-10,2026-06,114,6
26,china_ppi_yoy_pct,9.921204350857924,5.895681831360005,5.457347752602168,-1.4092954614666096,2.8303093439709595,4.1064587102992265,3.570825897197499,0.9072595547103609,2013-10,2026-06,114,6
26,china_cpi_yoy_pct,2.0635002920464744,0.687317177185306,1.1864074166375578,-1.2442297493853487,1.1665100088556497,-0.840906159376912,1.4320558453197958,0.903594948789154,2013-10,2026-06,114,6
26,china_iav_yoy_pct,-1.6718334552272096,-1.345230390760157,-3.52802527753801,7.815205039557645,-1.7661632739072846,6.080580854371285,-4.1471023232090065,0.5522071433830099,2013-10,2026-06,114,6
27,china_ppi_yoy_pct,13.857578747246912,4.342981137841084,4.986239167978525,1.4843223193913244,3.8055344382493006,2.4420731552454664,4.537501253531428,0.9086993360239808,2013-10,2026-06,114,6
27,china_cpi_yoy_pct,4.7674523495085035,2.4786436891023813,-0.6793683420155673,0.06862287735244321,1.137405643496704,0.7802458913305568,0.9217149565378746,0.9749214995920104,2013-10,2026-06,114,6
27,china_iav_yoy_pct,-2.5073930278651924,-8.113828845400818,-4.781655554422502,-2.1243723831785895,6.349698577906997,-5.631644796944216,-6.319898122346686,0.5665774324343263,2013-10,2026-06,114,6
28,china_ppi_yoy_pct,13.063860991659524,4.282889288138982,3.052397988343799,1.5318188145156215,2.813384839477212,2.158848703496745,4.934123617097564,0.9398606666961983,2013-10,2026-06,114,6
28,china_cpi_yoy_pct,2.5657856622441715,1.7069583429051116,-0.376237970669033,0.48647080929729447,0.7714116562614197,-0.3746107499898157,0.5923496769180548,0.9459323297921335,2013-10,2026-06,114,6
28,china_iav_yoy_pct,-2.808712013486,-2.901004333361595,-5.242245856487389,0.3948090025709341,4.897017086752756,-4.755279285535034,-5.634859339541377,0.5999964947758606,2013-10,2026-06,114,6
29,china_ppi_yoy_pct,10.109108340833453,6.113302194149547,5.545635838811773,-0.364271376950664,3.1428097013459597,1.0060594119350972,3.864985422761764,0.9178970553805611,2013-10,2026-06,114,6
