outcome,buffer,horizon,estimate,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,specification,sample_start,sample_end,countries,n,identification_note
fuel,oil_import_dependency,11,-0.3439340932222124,0.1455217742950462,-0.5304277508908568,-0.15744043555356796,-0.6291515298068695,-0.058716656637555265,0.018292914682922712,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-07,7,1198,continuous lagged annual buffer interaction
fuel,oil_import_dependency,12,-0.34571778302248185,0.14507915611614983,-0.5316442026710231,-0.15979136337394056,-0.6300677039175995,-0.06136786212736428,0.017358179065659618,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-06,7,1191,continuous lagged annual buffer interaction
fuel,oil_intensity,0,-0.13323670772720275,0.11654392839036261,-0.28259376161058974,0.01612034615618424,-0.3616586099891286,0.09518519453472307,0.25320251490389545,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,oil_intensity,1,0.2484836619962585,0.11774300794215338,0.09758992583606152,0.39937739815645545,0.017711606998224327,0.47925571699429265,0.03506035073092262,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,oil_intensity,2,0.3189535035298854,0.14375610728969088,0.13472263917618452,0.5031843678835862,0.037196710684415324,0.6007102963753554,0.026719089849982725,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,oil_intensity,3,0.46010215921978176,0.14014118830662609,0.28050399994814446,0.6397003184914191,0.18543047738814888,0.7347738410514146,0.0010603961295918563,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1240,continuous lagged annual buffer interaction
fuel,oil_intensity,4,0.4885575078942323,0.13521149944062,0.3152769991064729,0.6618380166819917,0.22354783869495942,0.7535671770935052,0.00031672201833332636,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-02,7,1233,continuous lagged annual buffer interaction
fuel,oil_intensity,5,0.39093454118587867,0.142130640787971,0.2087867959721972,0.5730822863995602,0.11236360414185592,0.6695054782299015,0.0060531623471289375,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-01,7,1226,continuous lagged annual buffer interaction
fuel,oil_intensity,6,0.4798592067595565,0.1333017964247241,0.3090260808615437,0.6506923326575693,0.21859248669260717,0.7411259268265058,0.0003335742584664736,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-12,7,1219,continuous lagged annual buffer interaction
fuel,oil_intensity,7,0.4760396996136921,0.12368748641383975,0.31752780776175926,0.6345515914656249,0.23361668090427892,0.7184627183231053,0.00012605506087570717,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1212,continuous lagged annual buffer interaction
