outcome,country,reference_country,horizon,response,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,response_type,specification,sample_start,sample_end,n
cpi,DEU,CHN,4,0.2609915933864491,0.1751895944983872,0.0364770942899173,0.48550609248298093,-0.08237370229656621,0.6043568890694644,0.13657545412486183,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-02,1291
cpi,FRA,CHN,4,0.16787417475838884,0.1295741147958687,0.0018182650876875373,0.3339300844290901,-0.08608642357017232,0.42183477308695,0.19539358017581732,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-02,1291
cpi,ITA,CHN,4,0.17528661713862956,0.18520426091171566,-0.06206219337831029,0.4126354276555694,-0.18770706403169243,0.5382802983089515,0.34412913868954287,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-02,1291
cpi,ESP,CHN,4,0.37843892455816547,0.1676662357285641,0.16356599767125415,0.5933118514450768,0.04981914110677699,0.707058708009554,0.024199720112393353,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-02,1291
cpi,JPN,CHN,4,-0.013148143086693353,0.15448062522393488,-0.21112303018873577,0.18482674401534907,-0.3159246048348356,0.28962831866144884,0.9321880700859768,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-02,1291
cpi,KOR,CHN,4,0.2287318662832894,0.12010393046390043,0.07481248616921798,0.3826512463973608,-0.006667511827658457,0.46413124439423725,0.05711520995084829,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-02,1291
cpi,DEU,CHN,5,0.26134863681307247,0.17496090042081056,0.03712722096968976,0.48557005265645514,-0.081568426714415,0.6042657003405599,0.13553133735205036,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-01,1284
cpi,FRA,CHN,5,0.22892038681950622,0.1311824505484322,0.06080331194718583,0.39703746169182663,-0.028192491659127572,0.48603326529814,0.0812594566506073,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-01,1284
cpi,ITA,CHN,5,0.29367311858317136,0.19442480690792077,0.04450770290961886,0.5428385342567239,-0.08739250065750764,0.6747387378238503,0.1312151398271868,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-01,1284
cpi,ESP,CHN,5,0.3848261252365678,0.17310654837796083,0.16298115715676997,0.6066710933163656,0.045543524927724066,0.7241087255454115,0.026417794384861137,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-01,1284
cpi,JPN,CHN,5,0.001117155640470576,0.1483729970235777,-0.18903049097963975,0.1912648022605809,-0.28968857480401033,0.29192288608495154,0.9939938742280829,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-01,1284
cpi,KOR,CHN,5,0.20516755567583764,0.09846743343363112,0.07897646220380894,0.33135864914786634,0.012174932495825436,0.39816017885584987,0.037430064409701425,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2026-01,1284
cpi,DEU,CHN,6,0.27205760993698813,0.15731303609795258,0.07045284224508278,0.4736623776288935,-0.03627027511364839,0.5803854949876246,0.08402382082768667,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-12,1277
