rule_id,rho_normal,rho_stress,rho_extreme,J1_macro_loss,J2_cvar95_macro_loss,J3_avg_gap_month_burden,J4_adjustment_volatility,scenario_count,max_gap_ratio,max_terminal_gap_ratio,max_recovery_terminal_gap_ratio,max_monthly_adjustment_ratio,sample_split,is_feasible,is_pareto,is_knee,is_pareto_exact,knee_score,base_price_2026_06_cny_t,stress_threshold_75_cny_t,stress_threshold_95_cny_t,threshold_quantile_low,threshold_quantile_high
R0757,0.75,0.55,0.5,0.2556564701667884,0.9575328544853717,0.007174652812723625,0.03957508352813623,101,0.05374987382658726,0.05374987382658726,1.3122527789694155e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0758,0.75,0.55,0.55,0.25649969422758534,0.9604777939214442,0.007016284485201516,0.0397021063918584,101,0.048374886443928525,0.048374886443928525,1.1810275010724737e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0759,0.75,0.6,0.0,0.25204656108223944,0.9437796964037254,0.008338986400373045,0.039994865328600256,101,0.10749974765317452,0.10749974765317452,2.624505557938831e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0760,0.75,0.6,0.05,0.2525894904194453,0.9463482898531014,0.008181135638067027,0.03984765939907092,101,0.1021247602705158,0.1021247602705158,2.4932802800418896e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0761,0.75,0.6,0.1,0.2531431107528504,0.9489069184858056,0.008023284875761006,0.039729597457061075,101,0.09674977288785708,0.09674977288785708,2.3620550021449482e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0762,0.75,0.6,0.15,0.25371682511116,0.9514556793440431,0.007865434113454986,0.039640405336017516,101,0.09137478550519834,0.09137478550519834,2.2308297242480064e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0763,0.75,0.6,0.2,0.25436905998959847,0.9539946679904373,0.007707583351148966,0.039579754471883145,101,0.08599979812253962,0.08599979812253962,2.099604446351065e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0764,0.75,0.6,0.25,0.25508000035550765,0.9565239785382856,0.007549732588842947,0.039547263357708744,101,0.0806248107398809,0.0806248107398809,1.9683791684541235e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0765,0.75,0.6,0.3,0.25583767838396465,0.9590437036810352,0.007391881826536926,0.039542499565990534,101,0.07524982335722216,0.07524982335722216,1.8371538905571817e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0766,0.75,0.6,0.35,0.2565996147501409,0.9615539347210249,0.007234031064230906,0.03956498229662052,101,0.06987483597456344,0.06987483597456344,1.7059286126602402e-05,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
