outcome,outcome_label,row_term,column_term,covariance,model,sample_start,sample_end,n
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,fuel_log_return_lag2,-0.6195710089487784,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,fuel_log_return_lag3,0.5682512570286641,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,fuel_log_return_lag4,-0.8038509872650405,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,fuel_log_return_lag5,0.9670663310806473,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,fuel_log_return_lag6,-0.6202867105587996,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,china_cpi_yoy_pct_lag1,0.010302345947713492,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag1,GPR,0.0001739213226581614,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,const,0.0067341104898291275,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,fuel_log_return_lag0,0.22441896815597256,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,fuel_log_return_lag1,-0.6195710089487786,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,fuel_log_return_lag2,0.9956694256143408,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,fuel_log_return_lag3,-0.5464584024404188,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,fuel_log_return_lag4,0.32392623172804275,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,fuel_log_return_lag5,-0.48418614704158147,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,fuel_log_return_lag6,0.627060296500291,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,china_cpi_yoy_pct_lag1,-0.0016837019396887356,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag2,GPR,-0.00011269926045409383,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,const,-0.022802875523084274,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,fuel_log_return_lag0,-0.3875458845014979,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,fuel_log_return_lag1,0.5682512570286642,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,fuel_log_return_lag2,-0.5464584024404189,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,fuel_log_return_lag3,1.155050770790008,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,fuel_log_return_lag4,-0.7687251429231524,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,fuel_log_return_lag5,0.5776092225632333,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,fuel_log_return_lag6,-0.36613200260615336,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,china_cpi_yoy_pct_lag1,0.0019524187826338577,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag3,GPR,0.00018898055541414073,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,const,0.0545790989117248,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,fuel_log_return_lag0,0.402652522612931,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,fuel_log_return_lag1,-0.8038509872650407,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,fuel_log_return_lag2,0.32392623172804286,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,fuel_log_return_lag3,-0.7687251429231524,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,fuel_log_return_lag4,1.411517124992273,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,fuel_log_return_lag5,-1.0699832272330476,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,fuel_log_return_lag6,0.7520298847473631,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,china_cpi_yoy_pct_lag1,-0.01626121697522237,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag4,GPR,-0.0003650561432152645,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,const,-0.03792392452381291,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,fuel_log_return_lag0,-0.3642052209416366,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,fuel_log_return_lag1,0.9670663310806475,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,fuel_log_return_lag2,-0.48418614704158175,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,fuel_log_return_lag3,0.5776092225632333,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,fuel_log_return_lag4,-1.0699832272330476,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,fuel_log_return_lag5,1.6188156968375438,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,fuel_log_return_lag6,-1.1899079316883594,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,china_cpi_yoy_pct_lag1,0.007430615972495928,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag5,GPR,0.00033743498995349283,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag6,const,-0.028421958147478298,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag6,fuel_log_return_lag0,0.461202653863825,China_fuel_to_macro_ARDL,2013-10,2026-06,153
china_cpi_yoy_pct,CPI,fuel_log_return_lag6,fuel_log_return_lag1,-0.6202867105587998,China_fuel_to_macro_ARDL,2013-10,2026-06,153
